year,in_state,count
1805,N,2
1835,N,10
1835,Y,1
1836,N,2
1837,N,2
1839,N,2
1839,Y,1
1841,N,15
1842,N,5
1842,Y,1
1843,N,5
1844,N,5
1845,N,3
1846,N,6
1847,N,3
1848,N,6
1848,Y,1
1849,N,12
1849,Y,1
1850,N,11
1851,N,55
1851,Y,1
1852,N,18
1852,Y,1
1853,N,17
1853,Y,2
1854,N,30
1854,Y,6
1855,N,39
1855,Y,3
1856,N,35
1856,Y,5
1857,N,31
1857,Y,2
1858,N,12
1859,N,12
1859,Y,2
1860,N,6
1861,N,1
1861,Y,1
1862,N,1
1863,N,1
1864,N,1
1865,N,1
1865,Y,1
1866,N,3
1867,N,5
1868,N,2
1868,Y,1
1869,N,1
1869,Y,2
1870,N,2
1871,N,3
1872,N,6
1873,N,4
1873,Y,2
1874,N,8
1874,Y,4
1875,N,6
1875,Y,1
1876,N,2
1876,Y,1
1877,N,5
1878,N,6
1878,Y,1
1879,N,8
1880,N,9
1880,Y,4
1881,N,16
1881,Y,1
1882,N,27
1882,Y,5
1883,N,26
1883,Y,2
1884,N,10
1884,Y,3
1885,N,12
1885,Y,1
1886,N,18
1887,N,15
1887,Y,5
1888,N,32
1888,Y,7
1889,N,32
1889,Y,4
1890,N,18
1891,N,53
1891,Y,7
1892,N,58
1892,Y,7
1893,N,143
1893,Y,7
1894,N,111
1894,Y,6
1895,N,95
1895,Y,10
1896,N,38
1896,Y,3
1897,N,42
1897,Y,8
1898,N,56
1898,Y,3
1899,N,101
1899,Y,6
1900,N,81
1900,Y,7
1901,N,113
1901,Y,9
1902,N,37
1902,Y,5
1903,N,169
1903,Y,5
1904,N,106
1904,Y,3
1905,N,60
1905,Y,3
1906,N,86
1906,Y,9
1907,N,43
1907,Y,2
1908,N,30
1908,Y,1
1909,N,51
1909,Y,3
1910,N,41
1910,Y,1
1911,N,46
1911,Y,4
1912,N,36
1912,Y,3
1913,N,18
1913,Y,3
1914,N,9
1914,Y,3
1915,N,35
1915,Y,1
1916,N,18
1916,Y,1
1917,N,11
1917,Y,1
1918,N,18
1918,Y,2
1919,N,29
1919,Y,3
1920,N,26
1920,Y,5
1921,N,14
1921,Y,1
1922,N,33
1922,Y,4
1923,N,9
1924,N,7
1925,N,5
1926,N,7
1926,Y,1
1927,N,2
1928,N,2
1929,N,1
1930,N,19
1930,Y,2
1931,N,17
1931,Y,3
1932,N,5
1933,N,1
1934,N,4
1935,N,6
1935,Y,3
1937,N,2
1938,N,3
1939,N,2
1940,N,5
1941,N,1
1942,N,4
1943,N,4
1944,N,4
1945,N,3
1946,N,7
1947,N,2
1948,N,5
1949,N,3
1960,N,2
1961,N,1
