"","lynch_state","year","n"
"1","GA",1865,1
"2","GA",1866,2
"3","GA",1867,1
"4","GA",1868,5
"5","GA",1869,12
"6","GA",1870,5
"7","GA",1871,9
"8","GA",1874,2
"9","GA",1875,11
"10","GA",1876,8
"11","GA",1877,7
"12","GA",1878,3
"13","GA",1879,6
"14","GA",1880,5
"15","GA",1881,5
"16","GA",1882,9
"17","GA",1883,9
"18","GA",1884,12
"19","GA",1885,11
"20","GA",1886,10
"21","GA",1887,9
"22","GA",1888,15
"23","GA",1889,14
"24","GA",1890,16
"25","GA",1891,13
"26","GA",1892,16
"27","GA",1893,17
"28","GA",1894,18
"29","GA",1895,11
"30","GA",1896,9
"31","GA",1897,10
"32","GA",1898,13
"33","GA",1899,32
"34","GA",1900,15
"35","GA",1901,10
"36","GA",1902,7
"37","GA",1903,13
"38","GA",1904,13
"39","GA",1905,10
"40","GA",1906,13
"41","GA",1907,7
"42","GA",1908,18
"43","GA",1909,13
"44","GA",1910,15
"45","GA",1911,24
"46","GA",1912,18
"47","GA",1913,11
"48","GA",1914,4
"49","GA",1915,22
"50","GA",1916,15
"51","GA",1917,7
"52","GA",1918,15
"53","GA",1919,21
"54","GA",1920,7
"55","GA",1921,13
"56","GA",1922,13
"57","GA",1923,3
"58","GA",1924,5
"59","GA",1925,2
"60","GA",1926,3
"61","GA",1930,5
"62","GA",1933,4
"63","GA",1934,1
"64","GA",1935,2
"65","GA",1936,6
"66","GA",1937,1
"67","GA",1938,1
"68","GA",1940,2
"69","GA",1941,2
"70","GA",1943,1
"71","GA",1945,1
"72","GA",1946,5
"73","GA",1948,2
"74","GA",1949,1
"75","GA",1950,1
"76","GA",1957,1
"77","GA",1964,1
"78","GA",2003,1
"79","GA",2020,1
