"","decade","total_hostile","total_neutral","total_orderly","grand_total","percent_hostile","percent_neutral","percent_orderly"
"1",1800,2,0,0,2,100,0,0
"2",1830,9,3,1,13,69.2307692307692,23.0769230769231,7.69230769230769
"3",1840,33,3,2,38,86.8421052631579,7.89473684210526,5.26315789473684
"4",1850,35,31,4,70,50,44.2857142857143,5.71428571428571
"5",1860,15,9,2,26,57.6923076923077,34.6153846153846,7.69230769230769
"6",1870,13,13,6,32,40.625,40.625,18.75
"7",1880,75,92,32,199,37.6884422110553,46.2311557788945,16.0804020100502
"8",1890,297,274,43,614,48.371335504886,44.6254071661238,7.00325732899023
"9",1900,388,341,60,789,49.1761723700887,43.2192648922687,7.60456273764259
"10",1910,166,130,17,313,53.035143769968,41.5335463258786,5.43130990415335
"11",1920,67,71,6,144,46.5277777777778,49.3055555555556,4.16666666666667
"12",1930,28,13,1,42,66.6666666666667,30.952380952381,2.38095238095238
"13",1940,11,2,1,14,78.5714285714286,14.2857142857143,7.14285714285714
"14",NA,171,177,22,370,46.2162162162162,47.8378378378378,5.94594594594595
