"","decade","variable","value"
"1",1800,"percent_hostile",100
"2",1830,"percent_hostile",69.2307692307692
"3",1840,"percent_hostile",86.8421052631579
"4",1850,"percent_hostile",50
"5",1860,"percent_hostile",57.6923076923077
"6",1870,"percent_hostile",40.625
"7",1880,"percent_hostile",37.6884422110553
"8",1890,"percent_hostile",48.371335504886
"9",1900,"percent_hostile",49.1761723700887
"10",1910,"percent_hostile",53.035143769968
"11",1920,"percent_hostile",46.5277777777778
"12",1930,"percent_hostile",66.6666666666667
"13",1940,"percent_hostile",78.5714285714286
"14",NA,"percent_hostile",46.2162162162162
"15",1800,"percent_neutral",0
"16",1830,"percent_neutral",23.0769230769231
"17",1840,"percent_neutral",7.89473684210526
"18",1850,"percent_neutral",44.2857142857143
"19",1860,"percent_neutral",34.6153846153846
"20",1870,"percent_neutral",40.625
"21",1880,"percent_neutral",46.2311557788945
"22",1890,"percent_neutral",44.6254071661238
"23",1900,"percent_neutral",43.2192648922687
"24",1910,"percent_neutral",41.5335463258786
"25",1920,"percent_neutral",49.3055555555556
"26",1930,"percent_neutral",30.952380952381
"27",1940,"percent_neutral",14.2857142857143
"28",NA,"percent_neutral",47.8378378378378
"29",1800,"percent_orderly",0
"30",1830,"percent_orderly",7.69230769230769
"31",1840,"percent_orderly",5.26315789473684
"32",1850,"percent_orderly",5.71428571428571
"33",1860,"percent_orderly",7.69230769230769
"34",1870,"percent_orderly",18.75
"35",1880,"percent_orderly",16.0804020100502
"36",1890,"percent_orderly",7.00325732899023
"37",1900,"percent_orderly",7.60456273764259
"38",1910,"percent_orderly",5.43130990415335
"39",1920,"percent_orderly",4.16666666666667
"40",1930,"percent_orderly",2.38095238095238
"41",1940,"percent_orderly",7.14285714285714
"42",NA,"percent_orderly",5.94594594594595
