"","state_lynch","variable","value"
"1","AL","percent_hostile",38.9830508474576
"2","GA","percent_hostile",48.7684729064039
"3","MS","percent_hostile",33.5766423357664
"4","TX","percent_hostile",48.1132075471698
"5","AL","percent_neutral",54.2372881355932
"6","GA","percent_neutral",44.8275862068966
"7","MS","percent_neutral",58.3941605839416
"8","TX","percent_neutral",45.2830188679245
"9","AL","percent_orderly",6.77966101694915
"10","GA","percent_orderly",6.40394088669951
"11","MS","percent_orderly",8.02919708029197
"12","TX","percent_orderly",6.60377358490566
